Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-test	3.4.4	test
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-test-autoconfigure	3.4.4	test
Smart-WorkFlow :: Basic :: Agent	org.springframework.data:spring-data-commons	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.data:spring-data-keyvalue	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.data:spring-data-redis	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.retry:spring-retry	2.0.11	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.security:spring-security-config	6.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.security:spring-security-core	6.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.security:spring-security-crypto	6.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.security:spring-security-web	6.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-aop	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-beans	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-context	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-context-support	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-core	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-expression	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-jcl	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-jdbc	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-messaging	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-oxm	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-test	6.2.5	test
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-tx	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-web	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-webflux	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework:spring-webmvc	6.2.5	compile
Smart-WorkFlow :: Basic :: Agent	org.tallison:jmatio	1.5	compile
Smart-WorkFlow :: Basic :: Agent	org.tukaani:xz	1.10	compile
Smart-WorkFlow :: Basic :: Agent	org.xmlunit:xmlunit-core	2.10.0	test
Smart-WorkFlow :: Basic :: Agent	org.yaml:snakeyaml	2.3	compile
Smart-WorkFlow :: Basic :: IoT	ch.qos.logback:logback-classic	1.5.18	compile
Smart-WorkFlow :: Basic :: IoT	ch.qos.logback:logback-core	1.5.18	compile
Smart-WorkFlow :: Basic :: IoT	cn.hutool:hutool-all	5.8.36	compile
Smart-WorkFlow :: Basic :: IoT	com.alibaba.fastjson2:fastjson2	2.0.53	compile
Smart-WorkFlow :: Basic :: IoT	com.baomidou:dynamic-datasource-creator	4.3.1	compile
