consumer_module	heavy_class	heavy_artifact	artifact_scope	entry_from	chain
sw-basic-knowledge	SpringAI	org.springframework.ai:spring-ai-commons:jar:1.0.4	compile	org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4 > org.springframework.ai:spring-ai-vector-store:jar:1.0.4 > org.springframework.ai:spring-ai-model:jar:1.0.4 > org.springframework.ai:spring-ai-commons:jar:1.0.4
sw-basic-knowledge	SpringAI	org.springframework.ai:spring-ai-model:jar:1.0.4	compile	org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4 > org.springframework.ai:spring-ai-vector-store:jar:1.0.4 > org.springframework.ai:spring-ai-model:jar:1.0.4
sw-basic-knowledge	SpringAI	org.springframework.ai:spring-ai-pgvector-store:jar:1.0.4	compile	org.springframework.ai:spring-ai-pgvector-store:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-pgvector-store:jar:1.0.4
sw-basic-knowledge	SpringAI	org.springframework.ai:spring-ai-template-st:jar:1.0.4	compile	org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4 > org.springframework.ai:spring-ai-vector-store:jar:1.0.4 > org.springframework.ai:spring-ai-model:jar:1.0.4 > org.springframework.ai:spring-ai-template-st:jar:1.0.4
sw-basic-knowledge	SpringAI	org.springframework.ai:spring-ai-vector-store:jar:1.0.4	compile	org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4 > org.springframework.ai:spring-ai-vector-store:jar:1.0.4
sw-basic-agent	Tika	org.apache.tika:tika-core:jar:3.1.0	compile	org.apache.tika:tika-core:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-core:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-apple-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-apple-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-audiovideo-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-audiovideo-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-cad-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-cad-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-code-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-code-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-crypto-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-crypto-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-digest-commons:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-digest-commons:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-font-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-font-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-html-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-html-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-image-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-image-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-mail-commons:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-mail-module:jar:3.1.0 > org.apache.tika:tika-parser-mail-commons:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-mail-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-mail-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-microsoft-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-microsoft-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-miscoffice-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-miscoffice-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-news-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-news-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-ocr-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-ocr-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-pdf-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-pdf-module:jar:3.1.0
sw-basic-agent	Tika	org.apache.tika:tika-parser-pkg-module:jar:3.1.0	compile	org.apache.tika:tika-parsers-standard-package:jar:3.1.0	com.sw.ck:sw-basic-knowledge:jar:0.1.0:compile > org.apache.tika:tika-parsers-standard-package:jar:3.1.0 > org.apache.tika:tika-parser-pkg-module:jar:3.1.0
